Restaurant Name,Location,Meal Type,Dine or Dash,Food Category,,
Chill Pops Gourmet Paletas,Negril,Snack,Dash,Jamaican,,
Miss Lily's,Negril,"Breakfast, Lunch, Dinner",Dine,Jamaican,,
Kuyaba,Negril,"Breakfast, Lunch, Dinner",Dine,Jamaican,,
Colleta’s Restaurant,Negril,"Breakfast, Lunch",Dash,Jamaican,,
Corner Bar,Negril,"Breakfast, Lunch, Dinner",Dash,Jamaican,,
Sweet Spice Restaurant,Negril,"Breakfast, Lunch, Dinner",Dash,Jamaican,,
Sea View Chinese Restaurant,Negril,"Lunch, Dinner",Dash,Chinese,,
Tensing Pen,Negril,Dinner,Dine,"Jamaican, International",,
Presley’s Seafood & Bar,Negril,Dinner,Dine,Jamaican,,
Zimbali Mountain Retreat,Negril,Dinner,Dine,Jamaican,,
Kenny’s Italian Café,Negril,Dinner,Dine,Italian,,
Push Cart Restaurant,Negril,Dinner,Dine,Jamaican,,
Rock House Restaurant,Negril,"Breakfast, Lunch, Dinner",Dine,"Jamaican, International",,
Zest Restaurant,Negril,"Breakfast, Lunch, Dinner",Dine,"Jamaican, International",,
Ivan’s Restaurant and Bar,Negril,"Breakfast, Lunch, Dinner",Dine,"Jamaican, International",,
L’Escargot,Ocho Rios,"Lunch, Dinner",Dine,French,,
Passage to India,Ocho Rios,"Lunch, Dinner","Dine, Dash",Indian,,
Evita’s,Ocho Rios,"Breakfast, Lunch, Dinner",Dine,Italian,,
Miss T's Kitchen,Ocho Rios,"Breakfast, Lunch, Dinner",Dine,Jamaican,,
Summerhouse,Ocho Rios,"Breakfast, Lunch, Dinner",Dine,Jamaican,,
Broken Plate,Kingston,"Lunch, Dinner",Dine,Jamaican,,
Blue Ridge,Kingston,"Breakfast, Lunch, Dinner",Dine,Jamaican,,
CPJ Market,Kingston,"Breakfast, Lunch",Dash,International,,
Café Blue Irish Town,Kingston,"Breakfast, Lunch",Dine,International,,
Chive,Kingston,"Brunch, Lunch, Dinner",Dine,Jamaican,,
Chillitos Jamexican Food ,Kingston,"Lunch, Dinner","Dine, Dash","Mexican, Jamaican",,
Crystal Edge Restaurant,Kingston,"Breakfast, Lunch",Dine,Jamaican,,
East Japanese,Kingston,"Lunch, Dinner","Dine, Dash",Japanese,,
Cellar 8,Kingston,"Lunch, Dinner",Dine,International,,
Fromage Bistro,Kingston,"Breakfast, Lunch, Dinner","Dine, Dash","French, Jamaican",,
Fromage Brasserie,Kingston,"Breakfast, Lunch, Dinner","Dine, Dash","French, Jamaican",,
Gloria’s,Kingston,"Lunch, Dinner",Dine,Jamaican,,
Uncorked,Kingston,"Lunch, Dinner",Dine,International,,
Uncorked Too!,Kingston,"Brunch, Lunch, Dinner",Dine,International,,
Sora Japanese Cuisine,Kingston,"Lunch, Dinner",Dine,Japanese,,
Sonia’s Catering,Kingston,"Breakfast, Lunch",Dash,Jamaican,,
Saffron Indian Cuisine,Kingston,"Lunch, Dinner","Dine, Dash",Indian,,
Chez Maria,Kingston,"Lunch, Dinner","Dine, Dash","Lebanese, Italian",,
Liquor Warehouse,Kingston,"Brunch, Lunch, Dinner","Dine, Dash",International,,
Lorna’s,Kingston,Lunch,Dash,Jamaican,,
Macau Gaming Lounge,Kingston,"Lunch, Dinner","Dine, Dash",International,,
M10 Bar & Grill,Kingston,"Lunch, Dinner","Dine, Dash",Jamaican,,
Nirvana,Kingston,"Lunch, Dinner",Dine,Indian,,
Orchid Thai,Kingston,"Lunch, Dinner",Dine,Thai,,
Oceano,Kingston,"Lunch, Dinner",Dine,Japanese,,
Ming Cuisine,Kingston,"Dim sum, Lunch, Dinner",Dine,Chinese,,
Tacbar,Kingston,"Lunch, Dinner",Dine,"Mexican, Jamaican",,
Jolly’s West,Kingston,"Lunch, Dinner","Dine, Dash",Jamaican,,
TGI,Kingston,"Lunch, Dinner","Dine, Dash",American,,
CRU Bar & Kitchen,Kingston,"Lunch, Dinner",Dine,Jamaican,,
Jade Garden ,Kingston,"Dim sum, Lunch, Dinner","Dine, Dash",Chinese,,
Strawberry Hill,Kingston,"Breakfast, Lunch, Dinner",Dine,Jamaican,,
South Avenue Grill,Kingston,Dinner,Dine,International,,
Sizzlin’ Grill,Kingston,"Lunch, Dinner",Dash,International,,
